<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130129,000000,229.1974700,231.5476600,229.1362900,231.2774700,0
20130130,000000,231.1296200,231.6139400,230.1304100,230.4210000,0
20130131,000000,230.2731500,230.6351100,229.7174700,229.7633500,0
20130201,000000,230.4821700,232.0982500,230.1915800,231.7719700,0
20130204,000000,230.6911900,230.8645200,229.0853100,229.1057000,0
20130205,000000,229.9723700,232.0574700,229.9723700,231.7362900,0
20130206,000000,231.4813900,232.0319700,230.8900200,231.6445200,0
20130207,000000,231.5119800,231.7209900,229.3555100,230.6198200,0
20130208,000000,230.9970700,232.2511900,230.7829600,232.1798200,0
20130211,000000,232.0727600,232.0727600,231.2978600,231.6751100,0
20130212,000000,231.6496200,231.7974600,231.1347200,231.2162900,0
20130213,000000,231.3539400,231.6751100,230.5229600,231.2723700,0
20130214,000000,230.9868800,232.0421700,230.6555100,231.6700100,0
20130215,000000,231.9453100,232.4653100,231.3998200,232.2308000,0
20130219,000000,232.3276600,233.7296200,231.7362900,233.7296200,0
20130220,000000,233.7041300,234.0457000,232.0166800,232.0421700,0
20130221,000000,231.4253100,231.7464900,230.2272700,231.0225600,0
20130222,000000,231.3539400,232.0676600,230.7625600,232.0676600,0
20130225,000000,232.8323700,233.7194300,229.2994300,229.2994300,0
20130226,000000,229.8092300,230.4923700,228.3002100,229.7888400,0
20130227,000000,229.5084500,233.2249200,229.2178600,232.5417800,0
20130228,000000,232.5417800,234.1119700,232.3684500,232.3684500,0
20130301,000000,231.9810000,234.0253100,231.0633500,233.9131500,0
20130304,000000,233.3829500,235.3966800,233.1433500,235.3915800,0
20130305,000000,236.0237400,237.8437400,236.0237400,237.5327600,0
20130306,000000,238.0272600,238.4402000,237.4206000,237.9711900,0
20130307,000000,238.2158900,238.7002100,237.6092300,237.8029500,0
20130308,000000,238.6237300,238.8531500,237.3645200,238.5982400,0
20130311,000000,238.3790300,239.6892200,238.0782500,239.6892200,0
20130312,000000,239.6280500,240.7598100,239.5923600,240.5966700,0
20130313,000000,240.4437300,240.7037300,239.4904000,240.4743200,0
20130314,000000,240.8158900,241.0656900,240.1378500,240.9535400,0
20130315,000000,240.5100100,240.5202000,239.3935400,240.1174600,0
20130318,000000,239.0009900,239.8676600,237.7162800,238.7307900,0
20130319,000000,239.2151100,239.8421600,237.6806000,238.9755000,0
20130320,000000,240.0817700,241.5143200,240.0817700,241.1064800,0
20130321,000000,240.4845200,241.0096100,239.2355000,239.7453000,0
20130322,000000,240.4794200,241.3919700,240.3366700,241.3919700,0
20130325,000000,241.7488300,242.2433400,239.7402000,240.6323600,0
20130326,000000,241.6723600,243.5382400,241.6723600,243.5076500,0
20130327,000000,242.8856900,244.9656900,242.1209900,244.8433400,0
20130328,000000,244.9962800,247.3566700,244.9962800,247.2139200,0
20130401,000000,246.8060800,247.8613700,246.2809800,247.6166700,0
20130402,000000,248.8300000,251.1852900,248.8300000,250.9405900,0
20130403,000000,250.9252900,251.3484300,248.4323500,249.0084300,0
20130404,000000,249.4774500,251.2056800,248.8707900,249.9821600,0
20130405,000000,248.6362800,248.6362800,247.1578500,248.4884300,0
20130408,000000,247.9582400,248.8911800,246.6174500,248.8911800,0
20130409,000000,249.3958800,250.7876500,249.0798000,249.7323500,0
20130410,000000,250.7060800,253.9739200,250.6449000,253.9076400,0
20130411,000000,254.3052900,257.0072500,254.3052900,256.3088200,0
20130412,000000,256.0335200,256.8543100,255.2535200,256.6605800,0
20130415,000000,256.4056800,256.8950900,251.6594100,251.6594100,0
20130416,000000,252.5158800,255.6715600,252.5158800,255.5645000,0
20130417,000000,254.5449000,255.1821500,252.4190200,254.5398000,0
20130418,000000,254.3511700,254.3562700,250.5072500,251.3841200,0
20130419,000000,251.5421600,256.2986200,251.5421600,256.2527400,0
20130422,000000,256.6198000,257.8484300,255.7276400,257.4864700,0
20130423,000000,258.2409700,260.3158700,256.6045100,259.1688200,0
20130424,000000,258.3531300,258.8119500,254.5194100,254.7080400,0
